Категория,Позиция,Цена,Валюта,Объём,Описание,Файл,URL
Хот-дог,Пита,320,₽,264 г,"Настоящий праздник вкуса! Большая порция (290 г) с сочной сосиской, дополненная миксом свежих овощей: пекинской капустой, томатами, огурцами и луком. За сочность отвечают сразу два соуса - чесночный и томатный. Сытный и яркий хот-дог для тех, кто про",Хот-дог/02 Пита.jpg,https://avatars.mds.yandex.net/get-eda/18531941/350d6d5b30f62be79d2e5b96ab7a5175/orig
Хот-дог,Хот-дог датский,320,₽,290 г,,Хот-дог/03 Хот-дог датский.jpg,https://avatars.mds.yandex.net/get-eda/18174674/98f893242868e5eb12cbcd564507a2a7/orig
Хот-дог,Хот-дог французский,250,₽,170 г,"Классический багет с сосиской (80 г) и маринованными огурцами. Минимум лишнего, максимум удобства - идеален для перекуса на бегу",Хот-дог/04 Хот-дог французский.jpg,https://avatars.mds.yandex.net/get-eda/19513998/662c444039b75943ce3f16ec6a56c52f/orig
Шаурма,Баварская,320,₽,400 г,"Немецкий характер в каждом укусе! Вместо привычной курицы мы добавили сочную сосиску (80 г) и порцию золотистого картофеля фри. Внутри - хрустящая пекинская капуста, свежие томаты, огурчики и лук. Завершает вкус сочетание классического томатного и не",Шаурма/01 Баварская.jpg,https://avatars.mds.yandex.net/get-eda/17751752/5d9b247eb92ca4e5471a053e25372356/orig
Шаурма,Барбекю,370,₽,410 г,"Для любителей насыщенного вкуса С дымком. В основе - сочное куриное филе (100 г), дополненное золотистым хрустящим луком фри, который придает блюду особую текстуру и пикантность. Внутри также свежие томаты, огурчики, пекинская капуста и лук под сочет",Шаурма/02 Барбекю.jpg,https://avatars.mds.yandex.net/get-eda/19925171/b7c26875a0c37b97f238d4b7ce0c9089/orig
Шаурма,Барбекю l,425,₽,480 г,"Мясной гигант для ценителей дымного аромата в большом формате. Мы увеличили порцию обжаренного куриного филе (130 г) и добавили щедрую порцию хрустящего лука фри для еще более яркого вкуса. Внутри - обилие свежих овощей, соус Барбекю и экстра-порция ",Шаурма/03 Барбекю l.jpg,https://avatars.mds.yandex.net/get-eda/19925171/b7c26875a0c37b97f238d4b7ce0c9089/orig
Шаурма,Брусника,425,₽,360 г,"Гастрономический хит для тех, кто ищет новые вкусовые сочетания. В основе - сочное обжаренное куриное филе (100 г) и микс из свежих овощей в хрустящем лаваше. Главная изюминка - сочетание нежного чесночного соуса и ароматного брусничного соуса с прия",Шаурма/04 Брусника.jpg,https://avatars.mds.yandex.net/get-eda/18174674/8ab60c361a9618163689ff3e15b22c84/orig
Шаурма,Диабло,365,₽,390 г,"Внимание: экстремально остро! Наш самый горячий рецепт для тех, кто не боится огня. За основу взята острая шаурма с халапеньо, в которую мы добавили двойную порцию легендарного соуса Шрирача. Сочное мясо, свежие овощи и взрывной вкус чили в каждом ук",Шаурма/05 Диабло.jpg,https://avatars.mds.yandex.net/get-eda/19925171/f9697380ac77f672b8c0a273b82344a1/orig
Шаурма,Диабло l,430,₽,480 г,"Ультимативный выбор для фанатов острого. Большая порция мяса (130 г) с пикантным халапеньо, усиленная мощной порцией жгучего соуса Шрирача (30 г). Только для тех, кто готов к настоящему огню",Шаурма/06 Диабло l.jpg,https://avatars.mds.yandex.net/get-eda/19925171/f9697380ac77f672b8c0a273b82344a1/orig
Шаурма,Классика,310,₽,350 г,"Тот самый вкус, с которого всё начиналось. Сочное куриное филе в сочетании со свежими томатами, хрустящими огурчиками и капелькой лука. Мы заправляем её идеальным дуэтом чесночного и томатного соусов и плотно заворачиваем в пшеничный лаваш. Ничего ли",Шаурма/07 Классика.jpg,https://avatars.mds.yandex.net/get-eda/17689586/1133acffa79cc21243e70ef7dab97970/orig
Шаурма,Классика l,360,₽,420 г,"Увеличенная версия нашей классики для тех, кто хочет больше мяса. Внутри - 420 грамм сочного куриного филе (130 г), свежие овощи и пекинская капуста в хрустящем лаваше. Мы добавили экстра-порцию чесночного соуса, чтобы большая шаурма оставалась макси",Шаурма/08 Классика l.jpg,https://avatars.mds.yandex.net/get-eda/17689586/1133acffa79cc21243e70ef7dab97970/orig
Шаурма,Морепродукты,440,₽,390 г,"Изысканная альтернатива мясной шаурме. Внутри - порция крупных королевских креветок в хрустящей панировке (120 г), микс свежих овощей и нежная пекинская капуста. Мы добавили сразу два соуса: наш фирменный чесночный и насыщенный сырный, чтобы подчеркн",Шаурма/09 Морепродукты.jpg,https://avatars.mds.yandex.net/get-eda/18012291/6b1fedb264b2d027911043505fcdeaba/orig
Шаурма,Овощная,250,₽,320 г,"Легкий и хрустящий вариант для тех, кто предпочитает овощи. Внутри - сочный микс из пекинской капусты, томатов, огурчиков и лука, дополненный небольшой порцией золотистого картофеля фри (20 г). Мы заправили её классическим дуэтом чесночного и томатно",Шаурма/10 Овощная.jpg,https://avatars.mds.yandex.net/get-eda/18174674/7716a7369cacbc555f7d52393bce498f/orig
Шаурма,Острая,320,₽,370 г,"Классический вкус с характером. Внутри - сочное куриное филе (100 г), свежие томаты, огурцы и лук, заправленные чесночным и томатным соусами в хрустящем лаваше. Главная особенность - порция пикантного перца халапеньо (20 г), который добавляет блюду п",Шаурма/11 Острая.jpg,https://avatars.mds.yandex.net/get-eda/17752687/533177dd32922702440ba7972b032072/orig
Шаурма,Острая l,370,₽,720 г,"Двойной огонь для тех, кто серьезно проголодался! Наш формат L (450 г) - это максимум начинки: еще больше сочного куриного филе, экстра-порция чесночного соуса и внушительная порция пикантного перца халапеньо (30 г). Жгучая, сочная и невероятно сытна",Шаурма/12 Острая l.jpg,https://avatars.mds.yandex.net/get-eda/17752687/533177dd32922702440ba7972b032072/orig
Шаурма,Песто,360,₽,350 г,"Изысканный вкус Средиземноморья в удобном формате. Внутри - сочное куриное филе (100 г), дополненное миксом свежих овощей: хрустящими огурчиками, томатами и луком. Главный секрет вкуса - сочетание классического чесночного соуса и ароматного итальянск",Шаурма/13 Песто.jpg,https://avatars.mds.yandex.net/get-eda/17689586/1133acffa79cc21243e70ef7dab97970/orig
Шаурма,Турецкая,320,₽,400 г,"Наша визитная карточка! Сочное куриное филе, обжаренное до золотистой корочки, в сочетании с хрустящим картофелем фри и свежими овощами (томаты, огурцы, лучок). Мы добавили сразу два соуса - фирменный чесночный и классический томатный, чтобы каждый к",Шаурма/14 Турецкая.jpg,https://avatars.mds.yandex.net/get-eda/19513998/3c066e178f2efadf77781375eac72671/orig
Шаурма,Турецкая l,370,₽,520 г,"Наш ответ самому серьезному голоду! Это увеличенная версия классической Турецкой шаурмы: еще больше сочной жареной курицы, экстра-порция золотистого картофеля фри и дополнительный фирменный чесночный соус. Внутри - 520 граммов чистого удовольствия в ",Шаурма/15 Турецкая l.jpg,https://avatars.mds.yandex.net/get-eda/19513998/3c066e178f2efadf77781375eac72671/orig
Шаурма,Цезарь,340,₽,430 г,"Настоящий тяжеловес в нашем меню (430 г)! Нестандартное прочтение классики: внутри вместо обычного мяса - порция хрустящих золотистых наггетсов и ломтик нежного сыра Чеддер. Свежесть обеспечивают пекинская капуста, томаты и огурчики. Всё это заправле",Шаурма/16 Цезарь.jpg,https://avatars.mds.yandex.net/get-eda/17783893/49f592d02527df8c0eda0fc25048cb0c/orig
Шаурма,Четыре Сыра,370,₽,430 г,"Мечта сырного гурмана весом 430 грамм! Мы объединили сочное куриное филе и свежие овощи с невероятным миксом сыров: нежной моцареллой, пикантным чеддером и густым сырным соусом. Завершает композицию наш фирменный чесночный соус. Тягучая, ароматная и ",Шаурма/17 Четыре Сыра.jpg,https://avatars.mds.yandex.net/get-eda/16489290/6e7645d510990d641d269aaedd1ecaa8/orig
Шаурма,Четыре Сыра l,425,₽,510 г,"Увеличенная версия нашего сырного бестселлера весом 510 грамм. Мы добавили еще больше сочного куриного филе (суммарно 130 г), экстра-порцию тягучей моцареллы и нашего фирменного чесночного соуса. Внутри - богатый микс из чеддера, моцареллы и двух вид",Шаурма/18 Четыре Сыра l.jpg,https://avatars.mds.yandex.net/get-eda/16489290/6e7645d510990d641d269aaedd1ecaa8/orig
